pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-11-01,88.7,-1.92,5.99,"Bichette, Bo",666182,660271,home_run,hit_into_play,,,,,6.0,Bo Bichette homers (1) on a fly ball to center field. George Springer scores. Vladimir Guerrero Jr. scores.,W,R,R,TOR,LAD,X,,fly_ball,0,0,2025,0.1,0.25,0.45,2.41,543807.0,,665489.0,1,3,Bot,106.64,21.05,,,,,5.616422937291138,-129.15322486411745,-3.258159527233467,-0.062298980600513,26.586177424988552,-28.902759745051096,3.7,1.74,442.0,110.1,24.0,89.2,2727.0,6.5,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.98,0.977,2.0,2.0,1.0,0.0,3.0,6.0,23,1,Slider,0,0,0,0,0,3,3,0,Standard,Standard,80.0,0.198,1.163,78.9,7.9,3.757,-1.163,110.1,0,0,0.63,0.63,30,27,31,27,2,1,4.0,1.0,,,2.64,-0.1,-0.1,40.8,3.75349114844376,-9.954370329336015,31.736509522797977,37.88681709813187,30.39534785365069
FF,2025-11-01,99.0,-2.61,5.54,"Bichette, Bo",666182,660271,walk,ball,,,,,14.0,Bo Bichette walks.,W,R,R,TOR,LAD,B,,,3,1,2025,-0.27,1.53,0.97,2.48,,,,0,2,Bot,,,,,,,10.459021216734705,-143.5980396905052,-6.468105942560133,-6.3093124187146605,36.550867134250005,-9.689865979773137,3.77,1.73,,,,99.2,2489.0,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.71,,0.691497,0.7,1.0,0.0,0.0,,11,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.023,0.262,,,,-0.262,,0,0,0.566,0.566,30,27,31,27,1,0,4.0,1.0,,,0.83,0.27,0.27,29.3,,,,,
FF,2025-11-01,98.5,-2.52,5.64,"Bichette, Bo",666182,660271,,ball,,,,,11.0,Ball,W,R,R,TOR,LAD,B,,,2,1,2025,-0.35,1.38,-1.21,3.8,,,,0,2,Bot,,,,,,,4.386332233045757,-143.27219774316254,-2.6932115907176617,-5.875198475440697,37.03834426892284,-12.82500414162074,3.79,1.83,,,,98.7,2596.0,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.8,,,,,,,,11,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.011,0.134,,,,-0.134,,0,0,0.555,0.555,30,27,31,27,1,0,4.0,1.0,,,0.99,0.35,0.35,31.8,,,,,
FF,2025-11-01,97.7,-2.41,5.64,"Bichette, Bo",666182,660271,,called_strike,,,,,8.0,Called Strike,W,R,R,TOR,LAD,S,,,2,0,2025,-0.71,1.33,0.16,2.19,,,,0,2,Bot,,,,,,,8.614394652566434,-141.82065459230012,-6.840315871378502,-11.679911048388892,35.706420014261475,-12.758057769773558,3.86,1.84,,,,97.8,2573.0,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.77,,,,,,,,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.007,-0.072,,,,0.072,,0,0,0.562,0.562,30,27,31,27,1,0,4.0,1.0,,,1.09,0.71,0.71,32.8,,,,,
FF,2025-11-01,97.5,-2.58,5.72,"Bichette, Bo",666182,660271,,ball,,,,,13.0,Ball,W,R,R,TOR,LAD,B,,,1,0,2025,-0.66,1.37,-1.1,2.73,,,,0,2,Bot,,,,,,,5.530416311434713,-141.68606444394896,-5.651032672030311,-10.213290943269406,35.78886436636647,-12.59040311047759,3.8,1.83,,,,97.7,2523.0,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.8,,,,,,,,11,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.007,0.077,,,,-0.077,,0,0,0.555,0.555,30,27,31,27,1,0,4.0,1.0,,,1.05,0.66,0.66,33.0,,,,,
FF,2025-11-01,97.9,-2.41,5.78,"Bichette, Bo",666182,660271,,ball,,,,,1.0,Ball,W,R,R,TOR,LAD,B,,,0,0,2025,-0.77,1.42,-0.82,3.47,,,,0,2,Bot,,,,,,,6.104770255007693,-142.35837280960416,-3.9871102996592978,-11.90320568283012,35.98564398352986,-12.17682089537955,3.8,1.72,,,,98.0,2509.0,6.6,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.88,,,,,,,,11,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.004,0.041,,,,-0.041,,0,0,0.551,0.551,30,27,31,27,1,0,4.0,1.0,,,0.98,0.77,0.77,33.4,,,,,
CH,2025-11-01,85.7,2.25,6.34,"Bichette, Bo",666182,605483,single,hit_into_play,,,,,6.0,Bo Bichette singles on a line drive to left fielder Enrique Hernández.,W,R,L,TOR,LAD,X,7.0,line_drive,2,1,2025,1.32,0.72,0.54,2.46,,,,1,9,Bot,75.84,91.39,,,,,-6.76123059080663,-124.5742142527088,-4.303996695650124,15.152248114053268,27.390518695899893,-24.007499292193785,3.7,1.74,255.0,87.0,19.0,86.0,1952.0,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.72,0.705,0.679,0.9,1.0,1.0,0.0,4.0,78,4,Changeup,4,4,4,4,4,4,4,4,Standard,Strategic,136.0,0.048,0.37,76.7,7.7,0.842,-0.37,88.0,0,0,0.587,0.587,32,27,33,27,1,4,3.0,1.0,,,2.42,1.32,-1.32,52.5,11.071241663768356,-7.042293460211536,31.47409080427284,38.28669821724661,34.85881071930904
CH,2025-11-01,85.3,2.23,6.32,"Bichette, Bo",666182,605483,,ball,,,,,12.0,Ball,W,R,L,TOR,LAD,B,,,1,1,2025,0.96,0.9,0.88,3.35,,,,1,9,Bot,,,,,,,-5.140172985353647,-124.07075303911148,-2.4549829813192106,10.947523209774925,26.71236684614175,-22.64060404111192,3.82,1.76,,,,85.6,1777.0,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.81,,,,,,,,78,3,Changeup,4,4,4,4,4,4,4,4,Standard,Strategic,132.0,0.007,0.055,,,,-0.055,,0,0,0.58,0.58,32,27,33,27,1,4,3.0,1.0,,,2.26,0.96,-0.96,52.2,,,,,
CH,2025-11-01,81.4,2.38,6.26,"Bichette, Bo",666182,605483,,ball,,,,,14.0,Ball,W,R,L,TOR,LAD,B,,,0,1,2025,1.24,0.6,1.81,2.39,,,,1,9,Bot,,,,,,,-3.6941416973893033,-118.4660349548928,-3.2134431650492523,12.38371083104279,24.385380980371995,-26.159055199075222,3.82,1.73,,,,81.9,1710.0,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.68,,,,,,,,78,2,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,128.0,0.005,0.029,,,,-0.029,,0,0,0.575,0.575,32,27,33,27,1,4,3.0,1.0,,,2.87,1.24,-1.24,49.9,,,,,
SL,2025-11-01,90.6,2.01,6.51,"Bichette, Bo",666182,605483,,called_strike,,,,,5.0,Called Strike,W,R,L,TOR,LAD,S,,,0,0,2025,-0.11,0.69,-0.17,2.67,,,,1,9,Bot,,,,,,,-5.232358249640115,-131.70200611943045,-5.107244568144697,-0.0904203534410059,30.255435408414627,-23.202311798624397,3.92,1.72,,,,90.9,2444.0,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.79,,,,,,,,78,1,Slider,4,4,4,4,4,4,4,4,Standard,Standard,168.0,-0.007,-0.039,,,,0.039,,0,0,0.582,0.582,32,27,33,27,1,4,3.0,1.0,,,2.11,-0.11,0.11,55.7,,,,,
